instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
77,2011-03-18,Spring,0,3,0,5,1,1,0.14,0.1515,0.69,0.1642,884,2355,3239
78,2011-03-19,Spring,0,3,0,6,0,1,0.16,0.1515,0.64,0.2239,1424,1693,3117
79,2011-03-20,Spring,0,3,0,0,0,1,0.16,0.1364,0.69,0.3284,1047,1424,2471
80,2011-03-21,Summer,0,3,0,1,1,2,0.22,0.2121,0.51,0.2985,401,1676,2077
81,2011-03-22,Summer,0,3,0,2,1,1,0.22,0.2273,0.51,0.1642,460,2243,2703
82,2011-03-23,Summer,0,3,0,3,1,2,0.24,0.2273,0.56,0.194,203,1918,2121
83,2011-03-24,Summer,0,3,0,4,1,2,0.26,0.2576,0.52,0.2239,166,1699,1865
84,2011-03-25,Summer,0,3,0,5,1,1,0.28,0.2727,0.52,0.2537,300,1910,2210
85,2011-03-26,Summer,0,3,0,6,0,1,0.3,0.2879,0.49,0.2537,981,1515,2496
86,2011-03-27,Summer,0,3,0,0,0,2,0.28,0.2727,0.48,0.2239,472,1221,1693
87,2011-03-28,Summer,0,3,0,1,1,1,0.26,0.2576,0.48,0.194,222,1806,2028
88,2011-03-29,Summer,0,3,0,2,1,1,0.24,0.2576,0.48,0.1045,317,2108,2425
89,2011-03-30,Summer,0,3,0,3,1,2,0.24,0.2576,0.48,0.1045,168,1368,1536
91,2011-04-01,Summer,0,4,0,5,1,2,0.22,0.2576,0.64,0.0896,307,1920,2227
92,2011-04-02,Summer,0,4,0,6,0,2,0.2,0.2273,0.69,0.0896,898,1354,2252
94,2011-04-04,Summer,0,4,0,1,1,1,0.16,0.197,0.74,0.0896,734,2381,3115
95,2011-04-05,Summer,0,4,0,2,1,2,0.16,0.197,0.74,0.0896,167,1628,1795
96,2011-04-06,Summer,0,4,0,3,1,1,0.24,0.2273,0.48,0.2239,413,2395,2808
97,2011-04-07,Summer,0,4,0,4,1,1,0.22,0.2273,0.47,0.1642,571,2570,3141
98,2011-04-08,Summer,0,4,0,5,1,2,0.2,0.197,0.47,0.2239,172,1299,1471
99,2011-04-09,Summer,0,4,0,6,0,2,0.18,0.1818,0.43,0.194,879,1576,2455
100,2011-04-10,Summer,0,4,0,0,0,2,0.2,0.1818,0.4,0.2985,1188,1707,2895
101,2011-04-11,Summer,0,4,0,1,1,2,0.22,0.197,0.37,0.3284,855,2493,3348
102,2011-04-12,Summer,0,4,0,2,1,2,0.22,0.197,0.37,0.3284,257,1777,2034
103,2011-04-13,Summer,0,4,0,3,1,2,0.26,0.2273,0.33,0.3284,209,1953,2162
104,2011-04-14,Summer,0,4,0,4,1,1,0.26,0.2273,0.33,0.3284,529,2738,3267
105,2011-04-15,Summer,0,4,1,5,0,1,0.28,0.2576,0.3,0.2985,642,2484,3126
106,2011-04-16,Summer,0,4,0,6,0,3,0.3,0.2879,0.28,0.194,121,674,795
107,2011-04-17,Summer,0,4,0,0,0,1,0.3,0.2879,0.28,0.194,1558,2186,3744
108,2011-04-18,Summer,0,4,0,1,1,1,0.3,0.3182,0.28,0.0896,669,2760,3429
109,2011-04-19,Summer,0,4,0,2,1,2,0.24,0.2273,0.38,0.194,409,2795,3204
110,2011-04-20,Summer,0,4,0,3,1,1,0.24,0.2424,0.38,0.1343,613,3331,3944
111,2011-04-21,Summer,0,4,0,4,1,1,0.24,0.2576,0.38,0.1045,745,3444,4189
112,2011-04-22,Summer,0,4,0,5,1,2,0.22,0.2273,0.47,0.1642,177,1506,1683
113,2011-04-23,Summer,0,4,0,6,0,2,0.2,0.197,0.51,0.194,1462,2574,4036
114,2011-04-24,Summer,0,4,0,0,0,2,0.18,0.197,0.55,0.1343,1710,2481,4191
119,2011-04-29,Summer,0,4,0,5,1,1,0.16,0.197,0.64,0.0896,878,3717,4595
120,2011-04-30,Summer,0,4,0,6,0,1,0.14,0.1818,0.69,0.0896,1965,3347,5312
121,2011-05-01,Summer,0,5,0,0,0,2,0.14,0.1667,0.63,0.1045,1138,2213,3351
126,2011-05-06,Summer,0,5,0,5,1,1,0.22,0.2576,0.44,0.0896,894,3714,4608
128,2011-05-08,Summer,0,5,0,0,0,1,0.26,0.2727,0.35,0.1045,1401,2932,4333
129,2011-05-09,Summer,0,5,0,1,1,1,0.28,0.2727,0.36,0.1642,664,3698,4362
131,2011-05-11,Summer,0,5,0,3,1,1,0.26,0.2576,0.38,0.1642,550,3632,4182
132,2011-05-12,Summer,0,5,0,4,1,1,0.22,0.2273,0.51,0.1642,695,4169,4864
133,2011-05-13,Summer,0,5,0,5,1,2,0.22,0.2273,0.51,0.1343,692,3413,4105
134,2011-05-14,Summer,0,5,0,6,0,2,0.22,0.2576,0.55,0.0896,902,2507,3409
135,2011-05-15,Summer,0,5,0,0,0,2,0.2,0.2121,0.51,0.1642,1582,2971,4553
136,2011-05-16,Summer,0,5,0,1,1,1,0.22,0.2121,0.55,0.2239,773,3185,3958
137,2011-05-17,Summer,0,5,0,2,1,2,0.22,0.2121,0.51,0.2836,678,3445,4123
138,2011-05-18,Summer,0,5,0,3,1,2,0.2,0.197,0.59,0.194,536,3319,3855
139,2011-05-19,Summer,0,5,0,4,1,2,0.2,0.197,0.64,0.194,735,3840,4575
140,2011-05-20,Summer,0,5,0,5,1,1,0.2,0.197,0.69,0.2239,909,4008,4917
141,2011-05-21,Summer,0,5,0,6,0,1,0.2,0.197,0.69,0.2239,2258,3547,5805
142,2011-05-22,Summer,0,5,0,0,0,1,0.2,0.2121,0.69,0.1343,1576,3084,4660
145,2011-05-25,Summer,0,5,0,3,1,1,0.2,0.2121,0.69,0.1343,740,4238,4978
146,2011-05-26,Summer,0,5,0,4,1,1,0.2,0.197,0.51,0.2537,758,3919,4677
147,2011-05-27,Summer,0,5,0,5,1,1,0.2,0.1818,0.47,0.2985,871,3808,4679
148,2011-05-28,Summer,0,5,0,6,0,1,0.22,0.197,0.37,0.3284,2001,2757,4758
149,2011-05-29,Summer,0,5,0,0,0,1,0.2,0.197,0.4,0.2239,2355,2433,4788
150,2011-05-30,Summer,0,5,1,1,0,1,0.2,0.197,0.37,0.2537,1549,2549,4098
151,2011-05-31,Summer,0,5,0,2,1,1,0.2,0.1818,0.37,0.2836,673,3309,3982
152,2011-06-01,Summer,0,6,0,3,1,2,0.2,0.197,0.4,0.2537,513,3461,3974
153,2011-06-02,Summer,0,6,0,4,1,1,0.2,0.2121,0.37,0.1642,736,4232,4968
154,2011-06-03,Summer,0,6,0,5,1,1,0.2,0.2121,0.37,0.1642,898,4414,5312
156,2011-06-05,Summer,0,6,0,0,0,2,0.2,0.2273,0.4,0.0896,1685,3221,4906
157,2011-06-06,Summer,0,6,0,1,1,1,0.16,0.197,0.55,0.0896,673,3875,4548
158,2011-06-07,Summer,0,6,0,2,1,1,0.18,0.2121,0.47,0.1045,763,4070,4833
159,2011-06-08,Summer,0,6,0,3,1,1,0.18,0.197,0.47,0.1343,676,3725,4401
160,2011-06-09,Summer,0,6,0,4,1,2,0.18,0.197,0.43,0.1642,563,3352,3915
161,2011-06-10,Summer,0,6,0,5,1,1,0.18,0.197,0.51,0.1642,815,3771,4586
162,2011-06-11,Summer,0,6,0,6,0,1,0.18,0.197,0.51,0.1642,1729,3237,4966
163,2011-06-12,Summer,0,6,0,0,0,1,0.18,0.2121,0.55,0.0896,1467,2993,4460
165,2011-06-14,Summer,0,6,0,2,1,1,0.18,0.197,0.55,0.1642,727,4164,4891
166,2011-06-15,Summer,0,6,0,3,1,1,0.18,0.197,0.55,0.1642,769,4411,5180
167,2011-06-16,Summer,0,6,0,4,1,2,0.16,0.1667,0.74,0.1642,545,3222,3767
168,2011-06-17,Summer,0,6,0,5,1,1,0.16,0.1667,0.74,0.1642,863,3981,4844
169,2011-06-18,Summer,0,6,0,6,0,1,0.16,0.1818,0.74,0.1045,1807,3312,5119
170,2011-06-19,Summer,0,6,0,0,0,2,0.16,0.1818,0.93,0.1045,1639,3105,4744
171,2011-06-20,Summer,0,6,0,1,1,2,0.16,0.1818,0.93,0.1045,699,3311,4010
172,2011-06-21,Fall,0,6,0,2,1,2,0.18,0.197,0.8,0.1642,774,4061,4835
173,2011-06-22,Fall,0,6,0,3,1,1,0.2,0.1818,0.69,0.3881,661,3846,4507
174,2011-06-23,Fall,0,6,0,4,1,2,0.2,0.1818,0.59,0.3582,746,4044,4790
175,2011-06-24,Fall,0,6,0,5,1,1,0.2,0.1818,0.44,0.3284,969,4022,4991
176,2011-06-25,Fall,0,6,0,6,0,1,0.2,0.1667,0.32,0.4925,1782,3420,5202
177,2011-06-26,Fall,0,6,0,0,0,1,0.2,0.1667,0.32,0.4478,1920,3385,5305
178,2011-06-27,Fall,0,6,0,1,1,2,0.18,0.1364,0.29,0.4478,854,3854,4708
180,2011-06-29,Fall,0,6,0,3,1,1,0.14,0.1212,0.39,0.2985,848,4377,5225
181,2011-06-30,Fall,0,6,0,4,1,1,0.14,0.1212,0.36,0.2537,1027,4488,5515
182,2011-07-01,Fall,0,7,0,5,1,1,0.12,0.1212,0.36,0.2537,1246,4116,5362
183,2011-07-02,Fall,0,7,0,6,0,1,0.12,0.1061,0.39,0.3582,2204,2915,5119
184,2011-07-03,Fall,0,7,0,0,0,2,0.12,0.1061,0.36,0.3881,2282,2367,4649
185,2011-07-04,Fall,0,7,1,1,0,2,0.1,0.0606,0.39,0.4478,3065,2978,6043
186,2011-07-05,Fall,0,7,0,2,1,1,0.1,0.0758,0.42,0.3881,1031,3634,4665
187,2011-07-06,Fall,0,7,0,3,1,1,0.1,0.0606,0.42,0.4627,784,3845,4629
188,2011-07-07,Fall,0,7,0,4,1,1,0.1,0.0606,0.46,0.4627,754,3838,4592
189,2011-07-08,Fall,0,7,0,5,1,2,0.1,0.0758,0.46,0.4179,692,3348,4040
190,2011-07-09,Fall,0,7,0,6,0,1,0.08,0.0909,0.53,0.194,1988,3348,5336
191,2011-07-10,Fall,0,7,0,0,0,1,0.08,0.0909,0.53,0.194,1743,3138,4881
192,2011-07-11,Fall,0,7,0,1,1,1,0.1,0.0909,0.49,0.2836,723,3363,4086
193,2011-07-12,Fall,0,7,0,2,1,1,0.08,0.0909,0.53,0.194,662,3596,4258
194,2011-07-13,Fall,0,7,0,3,1,1,0.1,0.0909,0.49,0.2836,748,3594,4342
196,2011-07-15,Fall,0,7,0,5,1,1,0.14,0.1061,0.43,0.3881,1318,4220,5538
198,2011-07-17,Fall,0,7,0,0,0,1,0.18,0.1364,0.37,0.4478,2006,3296,5302
199,2011-07-18,Fall,0,7,0,1,1,1,0.2,0.1667,0.34,0.4478,841,3617,4458
200,2011-07-19,Fall,0,7,0,2,1,1,0.22,0.1818,0.32,0.4627,752,3789,4541
201,2011-07-20,Fall,0,7,0,3,1,1,0.22,0.197,0.35,0.3582,644,3688,4332
202,2011-07-21,Fall,0,7,0,4,1,2,0.2,0.1667,0.34,0.4478,632,3152,3784
203,2011-07-22,Fall,0,7,0,5,1,1,0.18,0.1515,0.37,0.3881,562,2825,3387
204,2011-07-23,Fall,0,7,0,6,0,1,0.16,0.1364,0.4,0.3284,987,2298,3285
205,2011-07-24,Fall,0,7,0,0,0,1,0.16,0.1364,0.43,0.3284,1050,2556,3606
206,2011-07-25,Fall,0,7,0,1,1,1,0.14,0.1212,0.46,0.2537,568,3272,3840
207,2011-07-26,Fall,0,7,0,2,1,1,0.14,0.1061,0.46,0.4179,750,3840,4590
208,2011-07-27,Fall,0,7,0,3,1,1,0.14,0.1212,0.46,0.2985,755,3901,4656
209,2011-07-28,Fall,0,7,0,4,1,1,0.12,0.1364,0.5,0.194,606,3784,4390
210,2011-07-29,Fall,0,7,0,5,1,1,0.12,0.1212,0.5,0.2836,670,3176,3846
211,2011-07-30,Fall,0,7,0,6,0,1,0.12,0.1212,0.5,0.2836,1559,2916,4475
212,2011-07-31,Fall,0,7,0,0,0,1,0.12,0.1212,0.5,0.2239,1524,2778,4302
213,2011-08-01,Fall,0,8,0,1,1,1,0.12,0.1212,0.5,0.2239,729,3537,4266
214,2011-08-02,Fall,0,8,0,2,1,1,0.1,0.1212,0.54,0.1343,801,4044,4845
215,2011-08-03,Fall,0,8,0,3,1,2,0.1,0.1061,0.54,0.2537,467,3107,3574
216,2011-08-04,Fall,0,8,0,4,1,2,0.12,0.1212,0.5,0.2836,799,3777,4576
217,2011-08-05,Fall,0,8,0,5,1,1,0.12,0.1212,0.5,0.2239,1023,3843,4866
218,2011-08-06,Fall,0,8,0,6,0,2,0.12,0.1212,0.5,0.2836,1521,2773,4294
219,2011-08-07,Fall,0,8,0,0,0,1,0.14,0.1212,0.5,0.2537,1298,2487,3785
220,2011-08-08,Fall,0,8,0,1,1,1,0.14,0.1212,0.5,0.2985,846,3480,4326
221,2011-08-09,Fall,0,8,0,2,1,1,0.16,0.1364,0.47,0.2836,907,3695,4602
222,2011-08-10,Fall,0,8,0,3,1,1,0.2,0.1818,0.4,0.2836,884,3896,4780
223,2011-08-11,Fall,0,8,0,4,1,1,0.2,0.1818,0.4,0.2836,812,3980,4792
224,2011-08-12,Fall,0,8,0,5,1,1,0.2,0.197,0.4,0.2239,1051,3854,4905
225,2011-08-13,Fall,0,8,0,6,0,2,0.2,0.197,0.4,0.2239,1504,2646,4150
226,2011-08-14,Fall,0,8,0,0,0,2,0.2,0.2121,0.4,0.1343,1338,2482,3820
227,2011-08-15,Fall,0,8,0,1,1,1,0.2,0.2273,0.4,0.1045,775,3563,4338
228,2011-08-16,Fall,0,8,0,2,1,1,0.2,0.197,0.4,0.2239,721,4004,4725
229,2011-08-17,Fall,0,8,0,3,1,1,0.16,0.1667,0.47,0.1642,668,4026,4694
230,2011-08-18,Fall,0,8,0,4,1,1,0.16,0.1667,0.5,0.1642,639,3166,3805
231,2011-08-19,Fall,0,8,0,5,1,2,0.14,0.1364,0.59,0.194,797,3356,4153
232,2011-08-20,Fall,0,8,0,6,0,1,0.14,0.1515,0.59,0.1642,1914,3277,5191
233,2011-08-21,Fall,0,8,0,0,0,1,0.14,0.1515,0.59,0.1642,1249,2624,3873
234,2011-08-22,Fall,0,8,0,1,1,1,0.14,0.1667,0.59,0.1045,833,3925,4758
235,2011-08-23,Fall,0,8,0,2,1,1,0.14,0.1515,0.59,0.1642,1281,4614,5895
236,2011-08-24,Fall,0,8,0,3,1,1,0.16,0.1515,0.55,0.194,949,4181,5130
237,2011-08-25,Fall,0,8,0,4,1,2,0.16,0.1818,0.55,0.1343,435,3107,3542
238,2011-08-26,Fall,0,8,0,5,1,1,0.16,0.1818,0.55,0.1343,768,3893,4661
240,2011-08-28,Fall,0,8,0,0,0,1,0.18,0.2121,0.51,0.0896,1415,2919,4334
241,2011-08-29,Fall,0,8,0,1,1,1,0.18,0.197,0.51,0.1642,729,3905,4634
242,2011-08-30,Fall,0,8,0,2,1,1,0.2,0.2121,0.51,0.1642,775,4429,5204
243,2011-08-31,Fall,0,8,0,3,1,1,0.2,0.2121,0.47,0.1343,688,4370,5058
244,2011-09-01,Fall,0,9,0,4,1,1,0.2,0.2273,0.51,0.1045,783,4332,5115
245,2011-09-02,Fall,0,9,0,5,1,2,0.2,0.2273,0.59,0.0896,875,3852,4727
246,2011-09-03,Fall,0,9,0,6,0,1,0.2,0.2273,0.59,0.0896,1935,2549,4484
247,2011-09-04,Fall,0,9,0,0,0,1,0.16,0.197,0.8,0.0896,2521,2419,4940
248,2011-09-05,Fall,0,9,1,1,0,2,0.16,0.1515,0.86,0.2239,1236,2115,3351
249,2011-09-06,Fall,0,9,0,2,1,3,0.16,0.1515,0.86,0.2239,204,2506,2710
250,2011-09-07,Fall,0,9,0,3,1,3,0.16,0.1818,0.93,0.1045,118,1878,1996
252,2011-09-09,Fall,0,9,0,5,1,2,0.16,0.1515,0.93,0.194,417,3127,3544
253,2011-09-10,Fall,0,9,0,6,0,1,0.16,0.197,0.86,0.0896,1750,3595,5345
254,2011-09-11,Fall,0,9,0,0,0,1,0.16,0.1818,0.93,0.1045,1633,3413,5046
255,2011-09-12,Fall,0,9,0,1,1,1,0.16,0.197,0.93,0.0896,690,4023,4713
256,2011-09-13,Fall,0,9,0,2,1,1,0.16,0.197,0.86,0.0896,701,4062,4763
257,2011-09-14,Fall,0,9,0,3,1,1,0.16,0.1818,0.86,0.1045,647,4138,4785
258,2011-09-15,Fall,0,9,0,4,1,2,0.14,0.1515,0.86,0.1343,428,3231,3659
259,2011-09-16,Fall,0,9,0,5,1,2,0.14,0.1515,0.86,0.1642,742,4018,4760
260,2011-09-17,Fall,0,9,0,6,0,2,0.12,0.1515,0.93,0.1343,1434,3077,4511
261,2011-09-18,Fall,0,9,0,0,0,1,0.14,0.1515,0.69,0.1343,1353,2921,4274
262,2011-09-19,Fall,0,9,0,1,1,2,0.16,0.1667,0.59,0.1642,691,3848,4539
263,2011-09-20,Fall,0,9,0,2,1,2,0.16,0.1364,0.59,0.3284,438,3203,3641
264,2011-09-21,Fall,0,9,0,3,1,2,0.18,0.1818,0.55,0.2239,539,3813,4352
265,2011-09-22,Fall,0,9,0,4,1,2,0.2,0.1818,0.51,0.3881,555,4240,4795
267,2011-09-24,Winter,0,9,0,6,0,2,0.22,0.197,0.44,0.3582,1776,3647,5423
268,2011-09-25,Winter,0,9,0,0,0,2,0.2,0.1818,0.47,0.3284,1544,3466,5010
269,2011-09-26,Winter,0,9,0,1,1,2,0.2,0.1667,0.47,0.4179,684,3946,4630
270,2011-09-27,Winter,0,9,0,2,1,2,0.22,0.197,0.44,0.3284,477,3643,4120
271,2011-09-28,Winter,0,9,0,3,1,2,0.2,0.1818,0.47,0.3582,480,3427,3907
273,2011-09-30,Winter,0,9,0,5,1,1,0.18,0.1515,0.47,0.4179,830,4372,5202
274,2011-10-01,Winter,0,10,0,6,0,2,0.16,0.1364,0.5,0.3284,480,1949,2429
275,2011-10-02,Winter,0,10,0,0,0,2,0.16,0.1364,0.55,0.3284,616,2302,2918
276,2011-10-03,Winter,0,10,0,1,1,2,0.16,0.1212,0.55,0.4478,330,3240,3570
277,2011-10-04,Winter,0,10,0,2,1,1,0.14,0.1061,0.59,0.4179,486,3970,4456
278,2011-10-05,Winter,0,10,0,3,1,1,0.14,0.1212,0.59,0.2836,559,4267,4826
279,2011-10-06,Winter,0,10,0,4,1,1,0.14,0.1212,0.5,0.2836,639,4126,4765
280,2011-10-07,Winter,0,10,0,5,1,1,0.14,0.1212,0.5,0.3582,949,4036,4985
281,2011-10-08,Winter,0,10,0,6,0,1,0.14,0.1212,0.5,0.3284,2235,3174,5409
282,2011-10-09,Winter,0,10,0,0,0,1,0.14,0.1212,0.5,0.2537,2397,3114,5511
283,2011-10-10,Winter,0,10,1,1,0,1,0.14,0.1212,0.5,0.2985,1514,3603,5117
284,2011-10-11,Winter,0,10,0,2,1,2,0.12,0.1515,0.54,0.1343,667,3896,4563
285,2011-10-12,Winter,0,10,0,3,1,3,0.12,0.1515,0.54,0.1343,217,2199,2416
286,2011-10-13,Winter,0,10,0,4,1,2,0.14,0.1364,0.5,0.194,290,2623,2913
287,2011-10-14,Winter,0,10,0,5,1,2,0.14,0.1212,0.5,0.3284,529,3115,3644
288,2011-10-15,Winter,0,10,0,6,0,1,0.16,0.1364,0.5,0.3582,1899,3318,5217
289,2011-10-16,Winter,0,10,0,0,0,1,0.2,0.1667,0.44,0.4478,1748,3293,5041
290,2011-10-17,Winter,0,10,0,1,1,1,0.2,0.1667,0.44,0.4179,713,3857,4570
291,2011-10-18,Winter,0,10,0,2,1,2,0.22,0.197,0.41,0.4478,637,4111,4748
292,2011-10-19,Winter,0,10,0,3,1,3,0.22,0.197,0.41,0.3881,254,2170,2424
293,2011-10-20,Winter,0,10,0,4,1,1,0.24,0.2121,0.38,0.2985,471,3724,4195
294,2011-10-21,Winter,0,10,0,5,1,1,0.24,0.2121,0.38,0.3582,676,3628,4304
295,2011-10-22,Winter,0,10,0,6,0,1,0.2,0.1818,0.4,0.2836,1499,2809,4308
296,2011-10-23,Winter,0,10,0,0,0,1,0.2,0.1818,0.4,0.3284,1619,2762,4381
297,2011-10-24,Winter,0,10,0,1,1,1,0.16,0.1515,0.47,0.2537,699,3488,4187
298,2011-10-25,Winter,0,10,0,2,1,1,0.16,0.1515,0.47,0.2239,695,3992,4687
299,2011-10-26,Winter,0,10,0,3,1,2,0.14,0.1212,0.46,0.2985,404,3490,3894
300,2011-10-27,Winter,0,10,0,4,1,2,0.14,0.1212,0.46,0.3284,240,2419,2659
301,2011-10-28,Winter,0,10,0,5,1,2,0.12,0.1364,0.5,0.194,456,3291,3747
302,2011-10-29,Winter,0,10,0,6,0,3,0.12,0.1364,0.5,0.194,57,570,627
303,2011-10-30,Winter,0,10,0,0,0,1,0.1,0.1212,0.54,0.1642,885,2446,3331
304,2011-10-31,Winter,0,10,0,1,1,1,0.1,0.1212,0.54,0.1343,362,3307,3669
305,2011-11-01,Winter,0,11,0,2,1,1,0.1,0.1364,0.54,0.1045,410,3658,4068
306,2011-11-02,Winter,0,11,0,3,1,1,0.1,0.1364,0.54,0.0896,370,3816,4186
308,2011-11-04,Winter,0,11,0,5,1,2,0.1,0.1212,0.74,0.1642,470,3576,4046
310,2011-11-06,Winter,0,11,0,0,0,1,0.14,0.1515,0.69,0.1343,952,2697,3649
311,2011-11-07,Winter,0,11,0,1,1,1,0.18,0.1818,0.55,0.194,373,3662,4035
312,2011-11-08,Winter,0,11,0,2,1,1,0.18,0.1667,0.51,0.2836,376,3829,4205
313,2011-11-09,Winter,0,11,0,3,1,1,0.2,0.197,0.44,0.2537,305,3804,4109
314,2011-11-10,Winter,0,11,0,4,1,2,0.22,0.197,0.37,0.3881,190,2743,2933
315,2011-11-11,Winter,0,11,1,5,0,1,0.22,0.2121,0.41,0.2836,440,2928,3368
316,2011-11-12,Winter,0,11,0,6,0,1,0.24,0.2424,0.38,0.1642,1275,2792,4067
317,2011-11-13,Winter,0,11,0,0,0,1,0.22,0.2424,0.41,0.1045,1004,2713,3717
318,2011-11-14,Winter,0,11,0,1,1,1,0.22,0.2273,0.41,0.1642,595,3891,4486
320,2011-11-16,Winter,0,11,0,3,1,3,0.16,0.197,0.59,0.0896,145,1672,1817
326,2011-11-22,Winter,0,11,0,2,1,3,0.16,0.197,0.59,0.0896,69,1538,1607
327,2011-11-23,Winter,0,11,0,3,1,2,0.16,0.197,0.59,0.0896,112,2454,2566
331,2011-11-27,Winter,0,11,0,0,0,1,0.14,0.1667,0.63,0.1045,810,2261,3071
333,2011-11-29,Winter,0,11,0,2,1,2,0.14,0.1515,0.63,0.1343,96,2818,2914
334,2011-11-30,Winter,0,11,0,3,1,1,0.16,0.1818,0.64,0.1343,188,3425,3613
335,2011-12-01,Winter,0,12,0,4,1,1,0.18,0.197,0.59,0.1642,182,3545,3727
336,2011-12-02,Winter,0,12,0,5,1,1,0.2,0.197,0.55,0.2239,268,3672,3940
337,2011-12-03,Winter,0,12,0,6,0,1,0.24,0.2273,0.48,0.2239,706,2908,3614
338,2011-12-04,Winter,0,12,0,0,0,1,0.28,0.2576,0.38,0.2985,634,2851,3485
339,2011-12-05,Winter,0,12,0,1,1,2,0.3,0.2879,0.39,0.2836,233,3578,3811
340,2011-12-06,Winter,0,12,0,2,1,3,0.32,0.3182,0.36,0.194,126,2468,2594
341,2011-12-07,Winter,0,12,0,3,1,3,0.34,0.3333,0.34,0.194,50,655,705
342,2011-12-08,Winter,0,12,0,4,1,1,0.32,0.303,0.36,0.2836,150,3172,3322
